Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/Kuwait/1148/2008	0.15	0.37		Kuwait	6.00	0.01	9.00	4.00		West Asia	Centers For Disease Control And Prevention	2008-02-02		EPI162106	
A/Mississippi/5/2008	0.15	0.37		USA	7.00	0.01	6.00	1.00		North America	Centers For Disease Control And Prevention	2008-01-24		EPI154189	
A/Qatar/AF02/2008	0.15	0.37		Qatar	6.00	0.01	6.00			West Asia	Other Database Import	2008-01-30		EPI173760	
A/Mexico/UASLP-012/2008	0.15	0.37		Mexico	9.00	0.01	5.00	1.00		North America	Other Database Import	2008-01-15		EPI336107	
A/Mexico/24011/2008	0.15	0.37		Mexico	7.00	0.00	6.00	1.00		North America	Other Database Import	2008-11-02		EPI463917	
A/Mexico/24010/2008	0.15	0.37		Mexico	7.00	0.00	5.00			North America	Other Database Import	2008-11-02		EPI463909	
A/Malaysia/1959864/2008	0.15	0.37		Malaysia	7.00	0.01	7.00	1.00		Southeast Asia	Other Database Import	2008-03-11		EPI373687	
A/Taiwan/420/2008	0.15	0.37		Taiwan	6.00	0.00	7.00	1.00		China	Centers For Disease Control And Prevention	2008-06-06		EPI163239	
A/Singapore/N510/2008	0.15	0.37		Singapore	6.00	0.00	6.00			Southeast Asia	National Institute Of Infectious Diseases (niid)	2008-06-05		EPI187391	
A/Malaysia/1922209/2008	0.15	0.37		Malaysia	6.00	0.01	6.00			Southeast Asia	Other Database Import	2008-01-08		EPI373679	
A/Singapore/N350/2008	0.15	0.37		Singapore	6.00	0.00	6.00			Southeast Asia	National Institute Of Infectious Diseases (niid)	2008-04-02		EPI187689	
A/India/C087882/2008	0.15	0.37		India	6.00	0.00	6.00	1.00		South Asia	Other Database Import	2008-04-30		EPI375326	
A/India/7886/2008	0.15	0.37		India	6.00	0.00	5.00			South Asia	Centers For Disease Control And Prevention	2008-05-16		EPI168595	
A/India/7882/2008	0.15	0.37		India	6.00	0.00	5.00			South Asia	Centers For Disease Control And Prevention	2008-04-30		EPI168585	
A/Lima/FLU9895/2008	0.15	0.37		Peru	6.00	0.01	4.00			South America	Other Database Import	2008-01-02 (2008-01-02 - 2008-05-10)		EPI141649	
A/Brazil/1619/2008	0.15	0.37		Brazil	7.00	0.01	4.00			South America	Centers For Disease Control And Prevention	2008-03-29		EPI161840	
A/Brazil/1623/2008	0.15	0.37		Brazil	6.00	0.00	5.00	1.00		South America	Centers For Disease Control And Prevention	2008-04-01		EPI161842	
A/Penza/55/2008	0.15	0.37		Russia	6.00	0.01	5.00			West Asia	Other Database Import	2008-03-25		EPI387586	
A/Malaysia/32/2009	0.15	0.37		Malaysia	6.00	0.00	7.00	2.00		Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2009-01-06		EPI186304	Institut Penyelidikan Perubatan
A/Malaysia/1963888/2008	0.15	0.37		Malaysia	6.00	0.01	5.00			Southeast Asia	Other Database Import	2008-03-18		EPI373695	
A/HongKong/105/2008	0.15	0.37		Hong Kong	6.00	0.01	5.00			China	Centers For Disease Control And Prevention	2008-01-29		EPI161883	
A/Germany/AF1863/2008	0.15	0.37		Germany	6.00	0.01	4.00			Europe	Other Database Import	2008-03-25		EPI163795	
A/Aichi/115/2008	0.15	0.37		Japan	7.00	0.00	4.00			Japan Korea	National Institute Of Infectious Diseases (niid)	2008-08-25		EPI169084	
A/Singapore/N351/2008	0.15	0.37		Singapore	6.00	0.00	4.00			Southeast Asia	National Institute Of Infectious Diseases (niid)	2008-04-02		EPI187690	
A/Egypt/809/2008	0.15	0.37		Egypt	8.00	0.00	4.00	2.00		Africa	Centers For Disease Control And Prevention	2008-09-29		EPI185776	
A/StPetersburg/96/2008	0.87	0.37		Russia	7.00	0.00	5.00	1.00		West Asia	Centers For Disease Control And Prevention	2008-05-13		EPI168574	
A/Khabarovsk/41/2008	0.87	0.37		Russia	8.00	0.01	6.00	3.00		West Asia	Centers For Disease Control And Prevention	2008-04-22		EPI162214	
A/Ningbo/333/2008	0.87	0.37		China	6.00	0.01	5.00			China	Other Database Import	2008-03-21		EPI165779	
A/Khabarovsk/10/2008	0.87	0.37		Russia	6.00	0.01	6.00	1.00		West Asia	Centers For Disease Control And Prevention	2008-04-22		EPI162212	
A/Singapore/215/2008	0.87	0.37		Singapore	8.00	0.01	4.00	2.00		Southeast Asia	Other Database Import	2008-02-06		EPI609469	
A/HongKong/1868/2008	0.87	0.37		Hong Kong	8.00	0.00	5.00	3.00		China	Centers For Disease Control And Prevention	2008-07-27		EPI168587	
A/Ulaanbaatar/598/2008	0.87	0.37		Mongolia	6.00	0.01	4.00	1.00		West Asia	Centers For Disease Control And Prevention	2008-01-23		EPI162134	
A/Thailand/SP07127/2008	0.87	0.37		Thailand	6.00	0.00	5.00			Southeast Asia	Other Database Import	2008-06-24		EPI703316	
A/Taiwan/422/2008	0.87	0.37		Taiwan	6.00	0.00	5.00			China	Other Database Import	2008-07-17		EPI444975	
A/Taiwan/201/2008	0.87	0.37		Taiwan	12.00	0.01	4.00	2.00	1.00	China	Other Database Import	2008-04-06		EPI444786	
A/Guangdong/578/2008	0.87	0.37		China	9.00	0.00	5.00	1.00	1.00	China	Other Database Import	2008-09-28		EPI326347	
A/Guangdong/548/2008	0.87	0.37		China	9.00	0.00	7.00	2.00	1.00	China	Other Database Import	2008-10-23		EPI326351	
A/Guangdong/93/2008	0.87	0.37		China	9.00	0.00	6.00	1.00	1.00	China	Other Database Import	2008-05-08		EPI326345	
A/Tochigi/88/2008	0.87	0.37		Japan	8.00	0.00	6.00	1.00	1.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2008-09-07		EPI169160	
A/HongKong/3049/2008	0.87	0.37		Hong Kong	9.00	0.00	5.00	1.00	1.00	China	Centers For Disease Control And Prevention	2008-09-17		EPI175151	
A/Hiroshima-C/28/2008	0.87	0.37		Japan	9.00	0.01	4.00	1.00		Japan Korea	National Institute Of Infectious Diseases (niid)	2008-03-12		EPI157324	
A/Brisbane/10/2008	0.87	0.37		Australia	8.00	0.01	4.00		1.00	Oceania	Other Database Import	2008-02-25		EPI608590	Queensland Health Scientific Services
A/Perth/4/2008	0.87	0.47		Australia	9.00	0.01	4.00	2.00		Oceania	Other Database Import	2008-03-28		EPI606266	Pathwest Qe Ii Medical Centre
A/Taiwan/471/2008	0.87	0.37		Taiwan	8.00	0.00	4.00		1.00	China	Other Database Import	2008-08-22		EPI606103	
A/HongKong/161/2008	0.87	0.37		Hong Kong	9.00	0.01	4.00			China	Centers For Disease Control And Prevention	2008-02-07		EPI161887	
A/Ningxia-Xingqing/31/2008	0.87	0.47		China	9.00	0.01	4.00			China	Other Database Import	2008-04-01 (2008-03-07 - 2008-04-01)		EPI363303	
A/GansuLanzhouChengguan/1448/2008	0.87	0.47		China	9.00	0.00	4.00			China	Other Database Import	2008-05-08		EPI608317	
A/HongKong/173/2008	0.87	0.37		Hong Kong	8.00	0.01	4.00			China	Centers For Disease Control And Prevention	2008-02-10		EPI161889	
A/Nagano/1201/2008	0.87	0.77		Japan	8.00	0.00	5.00	1.00		Japan Korea	National Institute Of Infectious Diseases (niid)	2008-11-21		EPI169730	
A/TianjinNankai/1211/2008	0.87	0.37		China	8.00	0.00	5.00	1.00		China	Centers For Disease Control And Prevention	2008-12-31		EPI185774	
A/Ningbo/788/2008	0.87	0.37		China	8.00	0.00	4.00			China	Other Database Import	2008-08-21		EPI165783	
A/Aichi/79/2008	0.87	0.37		Japan	7.00	0.01	5.00			Japan Korea	Other Database Import	2008-03-09		EPI173622	
A/Taiwan/415/2008	0.87	0.37		Taiwan	7.00	0.00	5.00	1.00		China	Centers For Disease Control And Prevention	2008-06-07		EPI168571	
A/Ulaanbaatar/1600/2008	0.87	0.37		Mongolia	8.00	0.01	8.00	1.00	1.00	West Asia	Centers For Disease Control And Prevention	2008-02-14		EPI162137	
A/Xinjiang/Tulufan540/2008	0.87	0.37		China	7.00	0.02	7.00		1.00	China	Centers For Disease Control And Prevention	2008-01-14		EPI161952	
A/Seoul/4295/2008	0.87	0.37		South Korea	8.00	0.00	7.00	2.00	1.00	Japan Korea	Centers For Disease Control And Prevention	2008-05-11		EPI168580	
A/Tianjin/Jinnan166/2008	0.87	0.37		China	7.00	0.01	8.00		1.00	China	Centers For Disease Control And Prevention	2008-04-03		EPI163126	
A/Myanmar/M042/2008	0.87	0.37		Myanmar	7.00	0.00	10.00	1.00	1.00	Southeast Asia	Other Database Import	2008-07-29		EPI220088	
A/Myanmar/M156/2008	0.87	0.37		Myanmar	7.00	0.00	9.00		1.00	Southeast Asia	Other Database Import	2008-08-03		EPI220098	
A/Myanmar/l_072/2008	0.87	0.37		Myanmar	7.00	0.00	9.00		1.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2008-08-29		EPI172787	
A/CostaRica/7172/2008	0.87	0.37		Costa Rica	10.00	0.00	7.00	1.00	1.00	North America	Centers For Disease Control And Prevention	2008-06-20		EPI172432	Laboratorio Nacional De Influenza
A/Hawaii/18/2008	0.87	0.37		USA	8.00	0.01	6.00			North America	Centers For Disease Control And Prevention	2008-04-11		EPI168591	
A/Korea/AF05/2008	0.87	0.37		South Korea	8.00	0.01	6.00			Japan Korea	Other Database Import	2008-02-20		EPI173776	
A/Germany/AF1852/2008	0.87	0.37		Germany	8.00	0.01	6.00			Europe	Other Database Import	2008-01-23		EPI163784	
A/Guatemala/494/2008	0.87	0.37		Guatemala	8.00	0.00	7.00	1.00		North America	Centers For Disease Control And Prevention	2008-05-20		EPI163130	
A/Guatemala/AF1845/2008	0.87	0.37		Guatemala	8.00	0.00	6.00			North America	Other Database Import	2008-06-02		EPI163777	
A/Chiba/84/2008	0.87	0.37		Japan	8.00	0.00	6.00			Japan Korea	National Institute Of Infectious Diseases (niid)	2008-07-09		EPI169086	
A/Johannesburg/15/2008	0.87	0.37		South Africa	8.00	0.00	6.00			Africa	National Institute For Medical Research	2008-06-27		EPI211546	National Institute For Communicable Disease
A/California/9/2008	0.87	0.37		USA	8.00	0.00	6.00			North America	Centers For Disease Control And Prevention	2008-08-31		EPI168629	
A/Perth/12/2008	1.24	0.77		Australia	6.00	0.01	7.00	2.00		Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-05-29		EPI159893	Pathwest Qe Ii Medical Centre
A/Hue/H39/2008	1.24	0.78		Vietnam	7.00	0.03	5.00	1.00		Southeast Asia	Other Database Import	2008-01-29		EPI369735	
A/Chungbuk/4137/2008	1.24	0.77		South Korea	7.00	0.01	5.00		1.00	Japan Korea	Centers For Disease Control And Prevention	2008-04-13		EPI168576	
A/Cheongju/H397/2008	1.24	0.77		South Korea	8.00	0.04	7.00	1.00	1.00	Japan Korea	Other Database Import	2008-01-11		EPI219906	
A/Cheongju/H398/2008	1.24	0.77		South Korea	8.00	0.04	6.00		1.00	Japan Korea	Other Database Import	2008-01-12		EPI219911	
A/Cheongju/H407/2008	1.24	0.77		South Korea	8.00	0.02	6.00		1.00	Japan Korea	Other Database Import	2008-02-20		EPI219918	
A/Kobe/45/2008	1.24	0.88		Japan	8.00	0.00	5.00	1.00		Japan Korea	National Institute Of Infectious Diseases (niid)	2008-10-29		EPI169152	
A/KhanhHoa/KH475/2008	1.24	0.77		Vietnam	6.00	0.00	7.00	2.00		Southeast Asia	Other Database Import	2008-12-11		EPI369762	
A/KhanhHoa/KH488/2008	1.24	0.77		Vietnam	6.00	0.00	6.00	1.00		Southeast Asia	Other Database Import	2008-12-19		EPI355727	
A/Cambodia/S231/2008	1.24	0.77		Cambodia	6.00	0.00	5.00			Southeast Asia	Other Database Import	2008-10-15		EPI234325	
A/Japan/51/2009	1.24	0.77		Japan	7.00	0.00	5.00		1.00	Japan Korea	Centers For Disease Control And Prevention	2009-02-09		EPI193968	Naval Health Research Center
A/Japan/WRAIR1140P/2009	1.24	0.77		Japan	7.00	0.00	5.00		1.00	Japan Korea	Other Database Import	2009-02-09		EPI275494	
A/Tasmania/201/2008	1.24	0.77		Australia	7.00	0.00	6.00	1.00		Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-09-02		EPI172210	Royal Hobart Hospital
A/Moscow/118/2008	1.24	0.77		Russia	7.00	0.01	6.00	1.00		West Asia	Centers For Disease Control And Prevention	2008-05-27		EPI168573	
A/SuratThani/72/2009	1.24	0.92		Thailand	8.00	0.00	6.00		1.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2009-02-21		EPI211734	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/HeilongjiangQiqiharJianhua/172/2010	1.24	0.92		China	11.00	0.00	8.00		1.00	China	Other Database Import	2010-03-01		EPI608130	
A/Heilongjiang-Longsha/160/2010	1.24	0.92		China	11.00	0.00	8.00		1.00	China	Who Chinese National Influenza Center	2010-04-09		EPI293824	Who Chinese National Influenza Center
A/Japan/818/2009	1.24	0.77		Japan	7.00	0.00	6.00			Japan Korea	Other Database Import	2009-11-19		EPI421589	
A/Taiwan/549/2008	1.24	0.77		Taiwan	8.00	0.00	8.00	2.00		China	National Institute Of Infectious Diseases (niid)	2008-10-19		EPI169740	
A/Taiwan/612/2008	1.24	0.77		Taiwan	7.00	0.00	8.00	1.00		China	Centers For Disease Control And Prevention	2008-11-09		EPI172450	
A/Paris/2030/2008	1.24	0.77		France	6.00	0.05	5.00			Europe	Institut Pasteur	2008-02-26		EPI535428	
A/Thailand/998/2008	1.24	0.77		Thailand	6.00	0.00	5.00	2.00		Southeast Asia	Centers For Disease Control And Prevention	2008-11-04		EPI175305	
A/CapeTown/295/2009	1.24	1.20		South Africa	7.00	0.00	6.00	3.00	1.00	Africa	National Institute For Medical Research	2009-06-01		EPI210097	National Institute For Communicable Disease
A/Nigeria/1/2009	1.24	0.77		Nigeria	7.00	0.00	6.00		1.00	Africa	Centers For Disease Control And Prevention	2009-11-19		EPI232668	
A/Stockholm/90/2009	1.24	1.20		Sweden	6.00	0.00	6.00	1.00	1.00	Europe	Swedish Institute For Infectious Disease Control	2009-08-31 (2009-08-06 - 2009-08-31)		EPI238690	Swedish Institute For Infectious Disease Control
A/Gothenburg/3/2009	1.24	0.77		Sweden	7.00	0.00	6.00		1.00	Europe	Swedish Institute For Infectious Disease Control	2009-11-27		EPI238711	Swedish Institute For Infectious Disease Control
A/Singapore/N425/2008	1.24	0.77		Singapore	6.00	0.03	5.00			Southeast Asia	National Institute For Medical Research	2008-05-08		EPI215041	Tan Tock Seng Hospital
A/Kisumu/7597/2008	1.24	0.77		Kenya	7.00	0.01	6.00	1.00		Africa	Other Database Import	2008-09-13		EPI173191	
A/RiodeJaneiro/1621/2009	1.24	0.77		Brazil	6.00	0.00	6.00	1.00		South America	Other Database Import	2009-08-14		EPI299572	
A/Christchurch/5/2008	1.24	0.77		New Zealand	6.00	0.01	5.00			Oceania	Centers For Disease Control And Prevention	2008-08-06		EPI172426	
A/Colorado/5/2008	1.24	1.20		USA	5.00	0.00	7.00	3.00		North America	Centers For Disease Control And Prevention	2009-01-01 (2008-10-01 - 2009-01-01)		EPI172438	
A/SuratThani/70/2009	1.24	0.77		Thailand	6.00	0.00	4.00	1.00		Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2009-02-18		EPI211716	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/NewJersey/WRAIR1146P/2009	1.24	0.77		USA	6.00	0.00	5.00			North America	Other Database Import	2009-01-31 (2009-01-05 - 2009-01-31)		EPI275574	
A/Alaska/WRAIR1145P/2009	1.24	1.20		USA	5.00	0.00	5.00	2.00		North America	Other Database Import	2009-03-01 (2009-03-01 - 2009-03-28)		EPI275362	
A/Switzerland/1409281/2008	1.24	0.77		Switzerland	6.00	0.00	5.00			Europe	National Institute For Medical Research	2009-01-01		EPI215055	Hopital Cantonal Universitaire De Geneves
A/Townsville/2/2009	1.24	0.77		Australia	6.00	0.00	5.00			Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-02-11		EPI210234	Queensland Health Scientific Services
A/California/VRDL268/2009	1.24	0.77		USA	6.00	0.00	7.00	2.00		North America	Other Database Import	2009-04-30		EPI274186	
A/Indiana/2/2009	1.24	0.77		USA	6.00	0.00	7.00	2.00		North America	Centers For Disease Control And Prevention	2009-01-19		EPI185868	Indiana State Department Of Health Laboratories
A/Argentina/7646/2009	1.24	0.77		Argentina	6.00	0.00	4.00	1.00		South America	Centers For Disease Control And Prevention	2009-06-26		EPI211340	Instituto Nacional De Enfermedades Infecciosas
A/Nevada/2/2008	1.24	0.77		USA	7.00	0.00	5.00	1.00		North America	Centers For Disease Control And Prevention	2008-12-17		EPI193959	
A/Novosibirsk/319/2009	1.24	0.77		Russia	6.00	0.00	5.00			West Asia	Other Database Import	2009-02-01 (2009-02-01 - 2009-02-25)		EPI230522	
A/Victoria/502/2009	1.24	0.77		Australia	7.00	0.00	5.00			Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-01-25		EPI176481	Monash Medical Centre
A/Pennsylvania/PIT37/2008	2.48	0.77		USA	6.00	0.09	5.00			North America	Other Database Import	2008-02-06		EPI176061	
A/Madagascar/5847/2009	2.48	0.77		Madagascar	7.00	0.00	5.00		1.00	Africa	National Institute For Medical Research	2009-08-04		EPI235375	Institut Pasteur De Madagascar
A/SouthCarolina/3/2008	2.48	0.77		USA	6.00	0.06	5.00			North America	Centers For Disease Control And Prevention	2008-03-22		EPI159849	
A/Colombia/227/2009	2.48	0.77		Colombia	8.00	0.00	7.00	3.00		South America	Centers For Disease Control And Prevention	2009-05-01		EPI193933	Instituto Nacional De Salud De Columbia
A/Colombia/7158/2009	2.48	0.77		Colombia	7.00	0.00	5.00			South America	Centers For Disease Control And Prevention	2009-07-26		EPI270323	Instituto Nacional De Salud De Columbia
A/Maracay/FLA5610/2009	2.48	0.77		Venezuela	7.00	0.00	5.00			South America	Other Database Import	2009-01-17 (2009-01-01 - 2009-01-31)		EPI371259	
A/Maracay/FLA6553/2009	2.48	0.77		Venezuela	7.00	0.00	5.00			South America	Other Database Import	2009-01-17 (2009-01-01 - 2009-01-31)		EPI371257	
A/Perth/5/2008	2.48	0.77		Australia	7.00	0.06	7.00	3.00		Oceania	Other Database Import	2008-03-21		EPI609704	Pathwest Qe Ii Medical Centre
A/Wisconsin/13/2008	2.48	0.77		USA	6.00	0.01	5.00			North America	Centers For Disease Control And Prevention	2008-08-01		EPI169254	
A/Cambodia/S272/2008	2.48	0.92		Cambodia	9.00	0.01	5.00	2.00		Southeast Asia	Other Database Import	2008-10-14		EPI234328	
A/Texas/19/2008	2.48	0.92		USA	8.00	0.01	5.00	1.00		North America	Centers For Disease Control And Prevention	2008-08-06		EPI168633	
A/Perth/250/2008	2.48	0.92		Australia	7.00	0.01	6.00	1.00		Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-10-07		EPI172361	Pathwest Qe Ii Medical Centre
A/Kentucky/UR07-0041/2008	2.48	0.77		USA	6.00	0.09	5.00			North America	Other Database Import	2008-02-19		EPI173994	
A/Sydney/2/2008	2.48	0.77		Australia	7.00	0.04	5.00			Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-04-30		EPI162515	Westmead Hospital
A/Christchurch/19/2008	2.48	0.77		New Zealand	6.00	0.01	7.00	2.00		Oceania	Centers For Disease Control And Prevention	2008-08-23		EPI172428	
A/Darwin/1/2008	2.48	0.77		Australia	6.00	0.01	5.00			Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-08-13		EPI163712	Royal Darwin Hospital
A/Brisbane/19/2008	2.48	0.77		Australia	6.00	0.03	5.00			Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-05-23		EPI161697	Queensland Health Scientific Services
A/California/8/2008	2.48	0.77		USA	7.00	0.01	6.00	1.00		North America	Centers For Disease Control And Prevention	2008-09-10		EPI168627	
A/Netherlands/377/2008	2.48	1.35		Netherlands	6.00	0.01	6.00	2.00		Europe	Other Database Import	2008-09-28		EPI362343	
A/Tehran/93/2008	2.48	0.77		Iran	7.00	0.00	6.00	1.00		West Asia	National Institute For Medical Research	2008-11-06		EPI215094	Tehran University Of Medical Sciences
A/Kuwait/WRAIR1143P/2009	2.48	0.77		Kuwait	7.00	0.00	6.00	1.00	1.00	West Asia	Other Database Import	2009-01-01 (2009-01-01 - 2009-01-28)		EPI275526	
A/Kyrgyzstan/WRAIR1255P/2008	2.48	0.77		Kyrgyzstan	8.00	0.00	5.00	1.00	1.00	West Asia	Other Database Import	2008-12-02		EPI325737	
A/Kyrgyzstan/WRAIR1121P/2008	2.48	0.77		Kyrgyzstan	7.00	0.00	5.00		1.00	West Asia	Other Database Import	2008-12-09		EPI275534	
A/Johannesburg/5/2008	2.48	0.77		South Africa	6.00	0.04	6.00	1.00		Africa	Who Collaborating Centre For Reference And Research On Influenza	2008-04-30		EPI160583	National Institute For Communicable Disease
A/Kenya/1270/2009	2.48	0.77		Kenya	6.00	0.00	8.00	3.00		Africa	Centers For Disease Control And Prevention	2009-04-01		EPI193921	Cdc Kenya
A/Uganda/MUWRP-029/2008	2.48	0.77		Uganda	6.00	0.00	5.00			Africa	Other Database Import	2008-11-21		EPI313670	
A/Kenya/1428/2008	2.48	0.77		Kenya	6.00	0.01	5.00			Africa	Centers For Disease Control And Prevention	2008-07-29		EPI168621	
A/Poitiers/1341/2008	2.48	0.77		France	6.00	0.00	5.00			Europe	National Institute For Medical Research	2008-11-05		EPI215037	Crr Virus Influenza Region Sud
A/Madagascar/200/2009	2.48	0.77		Madagascar	6.00	0.00	5.00			Africa	National Institute For Medical Research	2009-01-13		EPI210085	Institut Pasteur De Madagascar
A/Madagascar/453/2009	2.48	0.77		Madagascar	6.00	0.00	5.00			Africa	National Institute For Medical Research	2009-02-11		EPI214992	Institut Pasteur De Madagascar
A/Madagascar/878/2009	2.48	0.77		Madagascar	6.00	0.00	5.00			Africa	National Institute For Medical Research	2009-03-12		EPI214990	Institut Pasteur De Madagascar
A/Malaysia/614/2009	2.79	2.97		Malaysia	12.00	0.00	6.00	2.00	2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2009-04-08		EPI211723	Institut Penyelidikan Perubatan
A/Malaysia/542/2009	2.79	2.97		Malaysia	11.00	0.00	7.00	3.00	2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2009-03-30		EPI211737	Institut Penyelidikan Perubatan
A/Brisbane/52/2009	2.79	2.97		Australia	10.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-05-18		EPI211741	Queensland Health Scientific Services
A/Niigata/403/2009	2.79	2.97		Japan	11.00	0.00	6.00	2.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-03-12		EPI187359	
A/Taiwan/4055/2009	2.79	2.97		Taiwan	11.00	0.00	5.00	1.00	2.00	China	Other Database Import	2009-01-19		EPI259450	
A/Okinawa/25/2009	2.79	2.97		Japan	12.00	0.00	5.00	1.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-05-20		EPI187682	
A/Ghana/FS-271/2010	2.79	2.97		Ghana	13.00	0.00	5.00	2.00	2.00	Africa	National Institute For Medical Research	2010-02-22		EPI287135	University Of Ghana
A/NordrheinWestfalen/1/2010	2.79	2.97		Germany	11.00	0.00	5.00		2.00	Europe	National Institute For Medical Research	2010-01-05		EPI272105	Robert Koch Institute
A/Ghana/FS-467/2010	2.79	2.97		Ghana	11.00	0.00	7.00	1.00	2.00	Africa	National Institute For Medical Research	2010-03-15		EPI287141	University Of Ghana
A/Ghana/FS-10-3811/2010	2.79	2.97		Ghana	12.00	0.00	6.00	1.00	2.00	Africa	National Institute For Medical Research	2010-06-17		EPI287114	University Of Ghana
A/Ghana/FS-526/2010	2.79	2.97		Ghana	11.00	0.00	6.00		2.00	Africa	National Institute For Medical Research	2010-03-15		EPI287133	University Of Ghana
A/Luxembourg/782/2009	2.79	2.97		Luxembourg	10.00	0.00	5.00		2.00	Europe	National Institute For Medical Research	2009-05-08		EPI210068	Laboratoire National De Sante
A/Singapore/H2009332C/2009	2.79	3.08		Singapore	11.00	0.00	6.00	1.00	2.00	Southeast Asia	Other Database Import	2009-05-01		EPI457963	
